firstname,lastname,season,games,games_started,minutes,fg_made,fg_att,fg_pct,pt3_made,pt3_att,pt3_pct,ft_made,ft_att,ft_pct,steals,turnovers,off_rebounds,def_rebounds,tot_rebounds,assists,blocks,fouls,flag_fouls,tech_fouls,ejected,points
Arron,Afflalo,2009,82,75,2220,272,585,46.5,108,249,43.4,72,98,73.5,46,74,59,193,252,138,30,225,0,1,0,724
Alexis,Ajinca,2009,6,0,29,5,10,50,0,0,0,0,1,0,1,2,1,3,4,0,1,5,0,0,0,10
LaMarcus,Aldridge,2009,78,78,2919,579,1169,49.5,5,16,31.3,230,304,75.7,67,104,192,435,627,160,48,231,1,1,0,1393
Joe,Alexander,2009,8,0,30,1,6,16.7,0,1,0,2,3,66.7,1,0,2,3,5,2,1,9,0,0,0,4
Malik,Allen,2009,51,3,458,46,116,39.7,1,6,16.7,12,13,92.3,11,22,36,46,82,16,5,68,1,0,0,105
Ray,Allen,2009,80,80,2814,464,973,47.7,145,399,36.3,231,253,91.3,64,129,45,208,253,210,25,182,0,0,0,1304
Tony ,Allen,2009,54,8,891,129,253,51,0,5,0,72,119,60.5,59,66,52,93,145,72,19,109,0,0,0,330
Rafer,Alston,2009,52,38,1424,155,446,34.8,58,168,34.5,59,81,72.8,50,95,13,116,129,176,10,103,0,1,0,427
Louis,Amundson,2009,79,0,1167,152,276,55.1,0,1,0,67,123,54.5,24,57,128,218,346,31,73,169,0,1,0,371
Chris,Andersen,2009,76,0,1696,142,251,56.6,0,3,0,164,236,69.5,42,59,147,336,483,33,143,171,0,1,0,448
David,Andersen,2009,63,0,893,147,340,43.2,27,78,34.6,46,67,68.7,15,37,54,154,208,44,12,119,0,1,0,367
Antonio,Anderson,2009,1,0,15,1,3,33.3,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,2
Ryan,Anderson,2009,63,6,919,169,388,43.6,78,211,37,71,82,86.6,25,56,70,132,202,37,14,81,0,0,0,487
Carmelo,Anthony,2009,69,69,2636,688,1502,45.8,59,187,31.6,508,612,83,88,209,152,302,454,222,30,225,0,2,1,1943
Joel,Anthony,2009,80,16,1319,76,159,47.8,0,0,0,66,92,71.7,20,45,123,126,249,12,109,158,0,0,0,218
Gilbert,Arenas,2009,32,32,1167,253,616,41.1,63,181,34.8,153,207,73.9,41,117,17,116,133,230,9,95,0,1,0,722
Trevor,Ariza,2009,72,71,2632,394,999,39.4,136,407,33.4,148,228,64.9,126,161,78,325,403,276,40,162,0,1,1,1072
Hilton,Armstrong,2009,33,0,336,28,79,35.4,0,1,0,15,32,46.9,15,22,27,54,81,21,12,59,0,0,0,71
Carlos,Arroyo,2009,72,35,1585,178,375,47.5,7,25,28,76,90,84.4,36,54,26,104,130,225,6,102,0,0,0,439
Ron,Artest,2009,77,77,2607,306,740,41.4,105,296,35.5,128,186,68.8,106,121,99,232,331,234,21,165,0,1,0,845
Darrell,Arthur,2009,32,1,455,63,146,43.2,0,1,0,17,30,56.7,14,22,37,73,110,15,14,60,0,1,0,143
Chucky,Atkins,2009,40,11,642,57,157,36.3,22,73,30.1,25,27,92.6,17,32,5,24,29,91,0,53,0,0,0,161
D.J.,Augustin,2009,80,2,1472,168,435,38.6,70,178,39.3,102,131,77.9,45,74,11,86,97,193,5,127,0,0,0,508
Kelenna,Azubuike,2009,9,7,231,48,88,54.5,10,27,37,19,28,67.9,5,7,12,29,41,10,9,16,0,1,0,125
Renaldo,Balkman,2009,13,1,91,6,18,33.3,0,7,0,2,6,33.3,8,6,4,19,23,7,2,16,0,0,0,14
Marcus,Banks,2009,22,0,244,39,73,53.4,7,24,29.2,24,29,82.8,12,20,3,20,23,26,2,30,0,1,0,109
Leandro,Barbosa,2009,44,5,783,155,365,42.5,44,136,32.4,64,73,87.7,23,46,11,58,69,64,12,71,0,0,0,418
Jose,Barea,2009,78,18,1546,232,527,44,56,157,35.7,76,90,84.4,35,102,17,129,146,258,6,119,0,1,0,596
Andrea,Bargnani,2009,80,80,2801,537,1143,47,121,325,37.2,181,234,77.4,25,120,105,388,493,93,111,215,0,1,0,1376
Matt,Barnes,2009,81,58,2091,271,557,48.7,66,207,31.9,108,146,74,59,112,106,339,445,134,30,185,1,2,1,716
Earl,Barron,2009,7,6,232,30,68,44.1,0,0,0,22,29,75.9,4,11,31,46,77,8,4,24,0,0,0,82
Brandon,Bass,2009,50,3,646,119,233,51.1,0,0,0,52,63,82.5,12,31,54,73,127,19,27,69,0,1,0,290
Tony,Battie,2009,15,0,133,14,40,35,1,4,25,7,10,70,4,3,4,19,23,3,2,19,0,0,0,36
Shane,Battier,2009,67,62,2169,178,447,39.8,101,279,36.2,77,106,72.6,53,64,74,238,312,164,76,139,0,1,0,534
Nicolas,Batum,2009,37,25,919,139,268,51.9,54,132,40.9,43,51,84.3,24,27,32,109,141,44,25,83,0,0,0,375
Jerryd,Bayless,2009,74,11,1305,200,483,41.4,29,92,31.5,201,242,83.1,26,94,18,102,120,172,5,152,0,1,0,630
Michael,Beasley,2009,78,78,2329,468,1040,45,28,102,27.5,192,240,80,80,131,123,375,498,100,49,221,0,1,0,1156
Rodrigue,Beaubois,2009,56,16,702,155,299,51.8,45,110,40.9,42,52,80.8,29,54,12,66,78,74,12,84,0,0,0,397
Marco,Belinelli,2009,66,1,1121,154,379,40.6,60,158,38,101,121,83.5,42,60,14,81,95,89,5,80,0,0,0,469
Charlie,Bell,2009,71,39,1620,169,443,38.1,73,200,36.5,48,67,71.6,39,54,31,101,132,104,12,136,0,0,0,459
Raja,Bell,2009,6,5,181,28,61,45.9,12,27,44.4,3,3,100,4,5,5,18,23,13,2,15,0,1,0,71
Jonathan,Bender,2009,25,1,292,40,100,40,14,39,35.9,24,26,92.3,2,28,15,37,52,16,17,33,1,0,0,118
Mike,Bibby,2009,80,80,2196,268,644,41.6,126,324,38.9,68,79,86.1,67,90,20,164,184,310,3,157,0,1,0,730
Andris,Biedrins,2009,33,29,764,81,137,59.1,0,0,0,4,25,16,20,32,63,196,259,57,44,117,0,0,0,166
Chauncey,Billups,2009,73,73,2490,402,962,41.8,157,407,38.6,466,512,91,82,177,25,203,228,409,9,153,0,1,0,1427
DeJuan,Blair,2009,82,23,1496,275,495,55.6,0,2,0,88,161,54.7,50,112,200,326,526,65,39,224,0,1,0,638
Steve,Blake,2009,80,38,2160,217,522,41.6,116,294,39.5,36,48,75,58,128,21,166,187,380,6,123,0,1,0,586
Andray,Blatche,2009,81,36,2252,478,999,47.8,13,44,29.5,174,234,74.4,85,182,158,351,509,170,71,218,0,1,0,1143
Mark,Blount,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keith,Bogans,2009,79,50,1562,120,298,40.3,70,196,35.7,37,50,74,45,53,25,151,176,95,12,156,0,1,0,347
Andrew,Bogut,2009,69,69,2231,473,910,52,0,2,0,149,237,62.9,39,131,208,493,701,127,175,222,0,1,0,1095
Matt,Bonner,2009,65,8,1164,166,372,44.6,90,231,39,35,48,72.9,30,39,52,162,214,68,24,109,0,1,0,457
Josh,Boone,2009,63,28,1045,117,223,52.5,0,0,0,19,58,32.8,30,37,124,191,315,29,48,111,0,0,0,253
Carlos,Boozer,2009,78,78,2673,617,1098,56.2,0,0,0,285,384,74.2,84,212,181,693,874,247,36,270,0,2,1,1519
Chris,Bosh,2009,70,70,2526,600,1158,51.8,8,22,36.4,470,590,79.7,43,169,205,554,759,166,68,170,0,1,0,1678
Ryan,Bowen,2009,1,0,8,1,1,100,0,0,0,2,2,100,1,0,1,1,2,0,0,2,0,0,0,4
Earl,Boykins,2009,67,1,1120,172,403,42.7,19,60,31.7,77,89,86.5,24,69,17,58,75,171,3,48,0,0,0,440
Elton,Brand,2009,76,57,2301,412,858,48,0,1,0,172,233,73.8,82,131,179,282,461,109,80,232,2,0,0,996
Corey,Brewer,2009,82,82,2485,409,949,43.1,82,237,34.6,166,256,64.8,117,164,70,209,279,193,29,224,0,1,0,1066
Ronnie,Brewer,2009,58,53,1740,209,429,48.7,8,31,25.8,85,133,63.9,91,53,45,142,187,154,15,80,0,0,0,511
Primoz,Brezec,2009,21,0,96,9,26,34.6,0,0,0,1,6,16.7,1,2,12,13,25,1,3,19,0,0,0,19
Jon,Brockman,2009,52,4,655,55,103,53.4,0,0,0,37,62,59.7,15,23,105,108,213,22,5,115,0,0,0,147
Aaron,Brooks,2009,82,82,2919,575,1331,43.2,209,525,39.8,245,298,82.2,69,232,54,161,215,434,14,199,2,1,0,1604
Bobby,Brown,2009,45,0,520,88,237,37.1,26,98,26.5,13,15,86.7,15,46,9,29,38,88,1,42,0,0,0,215
Derrick,Brown,2009,57,0,536,68,147,46.3,2,7,28.6,48,72,66.7,21,19,31,47,78,19,10,53,0,0,0,186
Devin,Brown,2009,50,37,1058,136,361,37.7,58,164,35.4,69,86,80.2,33,62,29,95,124,65,6,72,0,0,0,399
Kwame,Brown,2009,48,1,660,62,124,50,0,1,0,33,98,33.7,15,43,53,124,177,22,12,93,0,2,1,157
Shannon,Brown,2009,82,7,1702,253,592,42.7,62,189,32.8,99,121,81.8,57,67,30,153,183,108,31,129,0,1,0,667
Kobe,Bryant,2009,73,73,2835,716,1569,45.6,99,301,32.9,439,541,81.1,113,233,78,313,391,365,20,187,0,1,0,1970
Chase,Budinger,2009,74,4,1493,249,565,44.1,92,249,36.9,67,87,77,34,48,38,182,220,88,11,85,0,0,0,657
Caron,Butler,2009,74,74,2779,450,1051,42.8,42,145,29,264,315,83.8,116,160,104,357,461,156,24,193,0,1,0,1206
Rasual,Butler,2009,82,64,2703,356,870,40.9,145,432,33.6,122,145,84.1,36,79,39,201,240,116,68,121,0,1,0,979
Andrew,Bynum,2009,65,65,1979,392,688,57,0,1,0,193,261,73.9,35,115,177,364,541,68,94,193,0,1,0,977
Will,Bynum,2009,63,20,1666,237,534,44.4,12,55,21.8,142,178,79.8,55,115,24,118,142,283,7,143,0,1,0,628
Jose,Calderon,2009,68,39,1817,274,568,48.2,68,171,39.8,83,104,79.8,47,99,23,119,142,404,7,135,1,1,0,699
Marcus,Camby,2009,74,74,2314,238,501,47.5,2,7,28.6,78,122,63.9,95,91,249,622,871,186,146,161,1,1,0,556
Brian,Cardinal,2009,29,0,268,14,36,38.9,3,9,33.3,17,18,94.4,9,7,7,22,29,24,3,56,0,0,0,48
Rodney,Carney,2009,68,0,861,113,282,40.1,41,135,30.4,52,63,82.5,25,21,26,111,137,37,20,79,0,0,0,319
DeMarre,Carroll,2009,71,1,794,88,222,39.6,0,6,0,33,53,62.3,28,24,53,97,150,33,9,107,0,1,0,209
Matt,Carroll,2009,25,0,121,18,50,36,4,19,21.1,6,6,100,5,7,4,8,12,6,0,13,0,0,0,46
Anthony,Carter,2009,54,7,860,76,181,42,17,63,27,11,13,84.6,39,58,17,72,89,160,13,72,1,1,0,180
